        36998195 function calls (36797100 primitive calls) in 77.495 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    38700    0.033    0.000    0.040    0.000 ops.py:5454(get_controller)
    38698    0.033    0.000    0.033    0.000 context.py:516(_mode)
     3038    0.033    0.000    0.033    0.000 {built-in method _pywrap_tensorflow_internal.SetAttr}
   279857    0.032    0.000    0.032    0.000 {method 'startswith' of 'str' objects}
    10312    0.032    0.000    0.145    0.000 fromnumeric.py:41(_wrapit)
    16208    0.032    0.000    0.032    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationOutputConsumers_wrapper}
        2    0.032    0.016    7.451    3.725 transformers.py:86(transform)
    79362    0.031    0.000    0.048    0.000 dtypes.py:100(base_dtype)
    29074    0.031    0.000    0.052    0.000 compat.py:42(as_bytes)
    19132    0.030    0.000    0.030    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
   183456    0.030    0.000    0.030    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
     7972    0.029    0.000    0.032    0.000 ops.py:2056(_reconstruct_sequence_inputs)
    10192    0.028    0.000    0.028    0.000 mol_graphs.py:136(<listcomp>)
        2    0.028    0.014   33.630   16.815 data_loader.py:194(featurize)
    43717    0.028    0.000    0.101    0.000 ops.py:6015(get_default_graph)
     7972    0.027    0.000    0.185    0.000 ops.py:2032(<listcomp>)
    43719    0.027    0.000    0.033    0.000 ops.py:5437(get_default)
     7643    0.027    0.000    0.055    0.000 ops.py:334(__init__)
     8606    0.027    0.000    0.941    0.000 tf_inspect.py:238(getfullargspec)
     7991    0.027    0.000    0.063    0.000 lock_util.py:96(release)
    10192    0.027    0.000    0.027    0.000 mol_graphs.py:142(<listcomp>)
    93279    0.027    0.000    0.037    0.000 {method 'format' of 'str' objects}
    10302    0.027    0.000    0.154    0.000 fromnumeric.py:1966(sum)
    12071    0.026    0.000    0.033    0.000 ops.py:6436(__init__)
    19550    0.026    0.000    0.147    0.000 ops.py:2415(inputs)
    19349    0.026    0.000    0.049    0.000 context.py:191(push)
    41634    0.026    0.000    0.026    0.000 ops.py:2384(outputs)
    23778    0.026    0.000    0.042    0.000 context.py:1418(executing_eagerly)
     7972    0.025    0.000    0.066    0.000 ops.py:4561(_apply_device_functions)
    10931    0.025    0.000    0.058    0.000 ops.py:3974(_get_tensor_by_tf_output)
     2590    0.025    0.000    0.040    0.000 tf_stack.py:74(extract_stack_file_and_line)
    35498    0.024    0.000    0.111    0.000 c_api_util.py:143(tf_buffer)
9991/9580    0.024    0.000    0.073    0.000 {method 'read' of '_io.BufferedReader' objects}
     1404    0.024    0.000    0.024    0.000 {method 'write' of '_io.BufferedWriter' objects}
     8014    0.023    0.000    0.044    0.000 {built-in method _pywrap_tensorflow_internal.GetOperationInputs}
    55952    0.023    0.000    0.132    0.000 pywrap_tensorflow_internal.py:1397(<lambda>)
     2216    0.023    0.000    0.023    0.000 {built-in method _pywrap_tensorflow_internal.TF_GraphGetOpDef}
    30279    0.023    0.000    0.158    0.000 ops.py:616(_as_tf_output)
    18707    0.023    0.000    0.056    0.000 tf_decorator.py:198(unwrap)
   110590    0.023    0.000    0.023    0.000 context.py:1386(context)
    39796    0.023    0.000    0.023    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationName}
      291    0.022    0.000    1.930    0.007 resource_variable_ops.py:471(_init_from_args)
     2508    0.022    0.000    0.150    0.000 ops.py:5663(init_scope)
    43428    0.022    0.000    0.028    0.000 compat.py:68(as_text)
    45939    0.022    0.000    0.039    0.000 shape_base.py:209(_arrays_for_stack_dispatcher)
     7991    0.022    0.000    0.058    0.000 lock_util.py:86(acquire)
    49677    0.021    0.000    0.030    0.000 ops.py:371(graph)
    14646    0.021    0.000    0.040    0.000 abc.py:180(__instancecheck__)
    43054    0.021    0.000    0.031    0.000 ops.py:4201(_name_stack)
   163998    0.021    0.000    0.021    0.000 inspect.py:2502(name)
        9    0.021    0.002    0.023    0.003 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
    13457    0.021    0.000    0.040    0.000 op_def_library.py:52(_SatisfiesTypeConstraint)
     7972    0.020    0.000    0.023    0.000 ops.py:3990(_next_id)
    10192    0.020    0.000    0.020    0.000 graph_features.py:358(<listcomp>)
    45904    0.020    0.000    0.020    0.000 {built-in method __new__ of type object at 0x9ecf80}
     2216    0.020    0.000    0.115    0.000 ops.py:4001(_get_op_def)
    13300    0.020    0.000    0.025    0.000 {built-in method builtins.sorted}
      586    0.020    0.000    1.160    0.002 compressor.py:439(_read_block)
    19349    0.019    0.000    0.054    0.000 context.py:1458(graph_mode)
   139571    0.019    0.000    0.019    0.000 dtypes.py:128(as_datatype_enum)
    12071    0.019    0.000    0.185    0.000 ops.py:6518(__exit__)
    32289    0.019    0.000    0.019    0.000 {method 'HasField' of 'google.protobuf.pyext._message.CMessage' objects}
    68351    0.019    0.000    0.019    0.000 ops.py:366(dtype)
    82480    0.018    0.000    0.018    0.000 enum.py:517(__new__)
    16208    0.018    0.000    0.058    0.000 ops.py:592(<listcomp>)
    10396    0.017    0.000    0.017    0.000 {method 'sort' of 'list' objects}
    79952    0.017    0.000    0.017    0.000 dtypes.py:87(_is_ref_dtype)
    82759    0.017    0.000    0.017    0.000 ops.py:2517(graph)
    16208    0.017    0.000    0.113    0.000 ops.py:582(consumers)
    12501    0.016    0.000    0.016    0.000 {built-in method numpy.empty}
36231/36212    0.016    0.000    0.106    0.000 numeric.py:469(asarray)
   126259    0.016    0.000    0.016    0.000 {method 'extend' of 'list' objects}
    19349    0.016    0.000    0.063    0.000 ops.py:4012(as_default)
     7466    0.016    0.000    0.036    0.000 op_def_library.py:172(_MakeType)
   139305    0.015    0.000    0.015    0.000 inspect.py:2506(default)
        1    0.015    0.015    3.305    3.305 gradients_util.py:546(_GradientsHelper)
    15007    0.015    0.000    0.064    0.000 pywrap_tensorflow_internal.py:1399(<lambda>)
    28685    0.015    0.000    0.015    0.000 _weakrefset.py:70(__contains__)
    10312    0.015    0.000    0.210    0.000 fromnumeric.py:2252(cumsum)
    43663    0.015    0.000    0.030    0.000 generic.py:7(_check)
     2401    0.015    0.000    0.123    0.000 ops.py:2091(colocation_groups)
     2526    0.015    0.000    0.021    0.000 tensor_shape.py:1162(as_proto)
    38066    0.015    0.000    0.015    0.000 context.py:537(executing_eagerly)
     9992    0.015    0.000    0.015    0.000 traceable_stack.py:117(peek_objs)
     8014    0.014    0.000    0.074    0.000 ops.py:2422(<listcomp>)
    20787    0.014    0.000    0.014    0.000 {built-in method _pywrap_tensorflow_internal.TF_DeleteBuffer}
     7991    0.014    0.000    0.023    0.000 lock_util.py:74(group)
     3276    0.014    0.000    0.017    0.000 api.py:344(<genexpr>)
    16633    0.014    0.000    0.046    0.000 ops.py:1980(<genexpr>)
     8615    0.014    0.000    0.038    0.000 tf_inspect.py:384(ismethod)
    28841    0.013    0.000    0.031    0.000 ops.py:2130(name)
     7991    0.013    0.000    0.028    0.000 lock_util.py:106(_another_group_active)
    19349    0.013    0.000    0.017    0.000 context.py:211(pop)
    10877    0.013    0.000    0.023    0.000 control_flow_util.py:253(CheckInputFromValidContext)
    24142    0.013    0.000    0.013    0.000 ops.py:4208(_name_stack)
     7972    0.013    0.000    0.034    0.000 ops.py:5167(_snapshot_colocation_stack_metadata)
    24270    0.013    0.000    0.013    0.000 {method 'encode' of 'str' objects}
    24932    0.013    0.000    0.013    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationOpType}
    81999    0.012    0.000    0.012    0.000 {method 'isidentifier' of 'str' objects}
     7972    0.012    0.000    0.017    0.000 ops.py:4721(_control_dependencies_for_inputs)
    20767    0.012    0.000    0.147    0.000 gradients_util.py:294(_IsBackpropagatable)
       10    0.012    0.001    0.033    0.003 mol_graphs.py:258(agglomerate_mols)
    15049    0.012    0.000    0.049    0.000 pywrap_tensorflow_internal.py:73(_swig_getattr)
    20851    0.012    0.000    0.012    0.000 {method 'acquire' of '_thread.lock' objects}
     4738    0.012    0.000    0.019    0.000 threading.py:334(notify)
      633    0.012    0.000    0.028    0.000 managers.py:186(_rebuild_blknos_and_blklocs)
    24932    0.012    0.000    0.024    0.000 ops.py:2512(type)
     7972    0.012    0.000    0.022    0.000 ops.py:5127(_snapshot_device_function_stack_metadata)
     6613    0.012    0.000    1.057    0.000 compressor.py:400(_fill_buffer)
    20624    0.012    0.000    0.019    0.000 numeric.py:1607(<listcomp>)
    48909    0.012    0.000    0.012    0.000 ops.py:361(op)
    20787    0.011    0.000    0.047    0.000 pywrap_tensorflow_internal.py:1245(<lambda>)
     3684    0.011    0.000    0.055    0.000 ops.py:4410(colocate_with)
    15454    0.011    0.000    0.011    0.000 {built-in method _pywrap_tensorflow_internal.TF_GetBuffer}
     8531    0.011    0.000    0.011    0.000 tf_inspect.py:281(<listcomp>)
    23973    0.011    0.000    0.011    0.000 lock_util.py:110(_validate_group_id)
9562/9455    0.011    0.000    0.095    0.000 {built-in method builtins.all}
     4650    0.011    0.000    0.031    0.000 tensor_shape.py:741(__init__)
    16208    0.011    0.000    0.124    0.000 gradients_util.py:527(_Consumers)
    44847    0.011    0.000    0.011    0.000 ops.py:5106(_device_function_stack)
      598    0.011    0.000    0.011    0.000 {pandas._libs.lib.maybe_convert_objects}
     3038    0.011    0.000    0.077    0.000 ops.py:2580(_set_attr)
     1102    0.010    0.000    0.024    0.000 numeric.py:2551(array_equal)
    61152    0.010    0.000    0.010    0.000 _dtype.py:75(_isunsized)
     7972    0.010    0.000    0.065    0.000 ops.py:2036(<listcomp>)
    43616    0.010    0.000    0.010    0.000 {method 'pop' of 'list' objects}
    11146    0.010    0.000    0.045    0.000 {built-in method builtins.any}
    19743    0.010    0.000    0.027    0.000 tf_decorator.py:112(_has_tf_decorator_attr)
       81    0.010    0.000    0.010    0.000 {built-in method io.open}
    12110    0.010    0.000    0.031    0.000 ops.py:1013(_TensorTensorConversionFunction)
    16056    0.010    0.000    0.010    0.000 ops.py:3253(_c_graph)
    15007    0.010    0.000    0.010    0.000 {built-in method _pywrap_tensorflow_internal.TF_Output_oper_set}
    81999    0.010    0.000    0.010    0.000 inspect.py:2514(kind)
     7973    0.010    0.000    0.014    0.000 _collections_abc.py:676(items)
    10931    0.010    0.000    0.029    0.000 ops.py:3949(_get_operation_by_tf_operation)
    12510    0.010    0.000    0.010    0.000 {method 'WhichOneof' of 'google.protobuf.pyext._message.CMessage' objects}
     9186    0.009    0.000    0.019    0.000 common.py:1845(_is_dtype_type)
    11255    0.009    0.000    0.049    0.000 base.py:75(is_dtype)
     7991    0.009    0.000    0.072    0.000 lock_util.py:126(__exit__)
     5756    0.009    0.000    0.033    0.000 op_def_library.py:83(_Flatten)
    15007    0.009    0.000    0.009    0.000 {built-in method _pywrap_tensorflow_internal.TF_Output_index_set}
    81999    0.009    0.000    0.009    0.000 inspect.py:2510(annotation)
     7973    0.009    0.000    0.033    0.000 ops.py:5267(_mutation_lock)
     9529    0.009    0.000    0.014    0.000 six.py:586(iteritems)
    15007    0.009    0.000    0.009    0.000 {built-in method _pywrap_tensorflow_internal.new_TF_Output}
    35302    0.009    0.000    0.009    0.000 {built-in method builtins.iter}
    13257    0.009    0.000    0.009    0.000 {built-in method sys.exc_info}
    10943    0.009    0.000    0.009    0.000 fromnumeric.py:70(<dictcomp>)
     7972    0.009    0.000    0.014    0.000 ops.py:4755(_record_op_seen_by_control_dependencies)
     8487    0.009    0.000    0.026    0.000 context.py:1670(_tmp_in_graph_mode)
    39464    0.009    0.000    0.009    0.000 {method 'items' of 'dict' objects}
     5756    0.008    0.000    0.019    0.000 op_def_library.py:86(<listcomp>)
    24326    0.008    0.000    0.008    0.000 ops.py:3218(_check_not_finalized)
    10331    0.008    0.000    0.008    0.000 {method 'transpose' of 'numpy.ndarray' objects}
     1792    0.008    0.000    0.036    0.000 ops.py:4764(control_dependencies)
    39936    0.008    0.000    0.008    0.000 context.py:1312(context_switches)
    40768    0.008    0.000    0.008    0.000 datasets.py:916(sanitize)
      707    0.008    0.000    0.586    0.001 gen_resource_variable_ops.py:545(read_variable_op)
    37636    0.008    0.000    0.008    0.000 {built-in method builtins.issubclass}
    15313    0.008    0.000    0.011    0.000 op_def_library.py:79(_IsListValue)
    10289    0.008    0.000    0.008    0.000 {built-in method builtins.max}
     9894    0.008    0.000    0.015    0.000 op_def_library.py:567(<listcomp>)
    20744    0.008    0.000    0.008    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    15982    0.008    0.000    0.008    0.000 lock_util.py:108(<genexpr>)
    17276    0.007    0.000    0.009    0.000 inspect.py:159(isfunction)
     6416    0.007    0.000    0.007    0.000 op_def_library.py:37(_Attr)
    21129    0.007    0.000    0.007    0.000 ops.py:5152(_colocation_stack)
    23112    0.007    0.000    0.007    0.000 ops.py:5183(_control_dependencies_stack)
     4079    0.007    0.000    0.021    0.000 _dtype.py:319(_name_get)
     4002    0.007    0.000    0.009    0.000 traceable_stack.py:73(copy_metadata)
     9851    0.007    0.000    0.007    0.000 ops.py:2985(name_from_scope_name)
    15944    0.007    0.000    0.007    0.000 traceable_stack.py:121(peek_traceable_objs)
    37669    0.007    0.000    0.007    0.000 ops.py:3529(building_function)
     2590    0.007    0.000    0.056    0.000 traceable_stack.py:90(push_obj)
     7972    0.007    0.000    0.010    0.000 ops.py:3603(<listcomp>)
     7972    0.007    0.000    0.007    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationNumOutputs}
     4637    0.007    0.000    0.009    0.000 tensor_shape.py:176(__init__)
     8606    0.007    0.000    0.012    0.000 <string>:12(__new__)
    11796    0.007    0.000    0.007    0.000 mol_graphs.py:321(to_final_id)
    13110    0.007    0.000    0.016    0.000 ops.py:167(_as_graph_element)
      730    0.007    0.000    0.014    0.000 inspect_utils.py:82(isbuiltin)
    10323    0.007    0.000    0.018    0.000 ops.py:6059(_assert_same_graph)
    12256    0.007    0.000    0.009    0.000 ops.py:2397(__iter__)
     1734    0.007    0.000    0.048    0.000 ops.py:452(_c_api_shape)
     2590    0.007    0.000    0.047    0.000 traceable_stack.py:35(set_filename_and_line_from_caller)
        6    0.007    0.001    0.008    0.001 parsers.py:1830(__init__)
    10362    0.007    0.000    0.007    0.000 {method 'insert' of 'list' objects}
     2216    0.007    0.000    1.507    0.001 constant_op.py:183(constant)
     7991    0.007    0.000    0.065    0.000 lock_util.py:123(__enter__)
     6170    0.007    0.000    0.018    0.000 common.py:1702(is_extension_array_dtype)
     5202    0.007    0.000    0.007    0.000 {built-in method _pywrap_tensorflow_internal.TFE_Py_RecordGradient}
    30576    0.007    0.000    0.007    0.000 mol_graphs.py:114(get_num_atoms)
    10925    0.006    0.000    0.008    0.000 control_flow_util.py:167(GetOutputContext)
   730/12    0.006    0.000    1.836    0.153 api.py:288(converted_call)
     7643    0.006    0.000    0.006    0.000 {built-in method _pywrap_tensorflow_internal.TFE_Py_UID}
     6194    0.006    0.000    0.009    0.000 dtypes.py:68(find)
      256    0.006    0.000    0.293    0.001 gen_array_ops.py:9804(strided_slice)
     5756    0.006    0.000    0.006    0.000 op_def_library.py:782(<listcomp>)
     4736    0.006    0.000    0.026    0.000 threading.py:357(notify_all)
     9894    0.006    0.000    0.006    0.000 op_def_library.py:63(_IsListParameter)
     7972    0.006    0.000    0.014    0.000 ops.py:5169(<dictcomp>)
     8813    0.006    0.000    0.006    0.000 {method 'update' of 'dict' objects}
        1    0.006    0.006    0.006    0.006 {built-in method _pywrap_tensorflow_internal.TF_NewSessionRef}
  343/232    0.006    0.000    0.044    0.000 base.py:253(__new__)
     1189    0.006    0.000    0.006    0.000 {tensorflow.python.framework.fast_tensor_util.AppendInt32ArrayToTensorProto}
     9938    0.006    0.000    0.006    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationDevice}
     2526    0.006    0.000    0.006    0.000 tensor_shape.py:1168(<listcomp>)
     1301    0.006    0.000    0.010    0.000 ops.py:87(__init__)
      291    0.006    0.000    0.277    0.001 gen_resource_variable_ops.py:1381(var_handle_op)
     3038    0.006    0.000    0.012    0.000 {built-in method _pywrap_tensorflow_internal.TF_NewBufferFromString}
    31815    0.006    0.000    0.006    0.000 {method 'add' of 'set' objects}
      195    0.006    0.000    0.033    0.000 concat.py:261(get_empty_dtype_and_na)
     7643    0.006    0.000    0.006    0.000 {built-in method _pywrap_tensorflow_internal.TF_OperationOutputType}
        1    0.006    0.006    0.006    0.006 {method 'permutation' of 'mtrand.RandomState' objects}
     8908    0.006    0.000    0.020    0.000 dtypes.py:270(__ne__)
      256    0.006    0.000    0.853    0.003 array_ops.py:538(_slice_helper)
     4267    0.005    0.000    0.014    0.000 numerictypes.py:365(issubdtype)
  728/292    0.005    0.000    0.032    0.000 variables.py:2553(_safe_initial_value_from_op)
     9938    0.005    0.000    0.011    0.000 ops.py:2140(device)
     2602    0.005    0.000    0.050    0.000 ops.py:4490(device)
     8606    0.005    0.000    0.005    0.000 {method 'values' of 'mappingproxy' objects}
     3130    0.005    0.000    0.011    0.000 common.py:160(is_sparse)
     1286    0.005    0.000    0.005    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1193    0.005    0.000    0.042    0.000 blocks.py:3034(get_block_type)
     2213    0.005    0.000    0.019    0.000 tensor_util.py:347(_AssertCompatible)
     3831    0.005    0.000    0.013    0.000 ops.py:3798(_as_graph_element_locked)
      586    0.005    0.000    1.166    0.002 compressor.py:467(read)
    32265    0.005    0.000    0.005    0.000 context.py:1393(context_safe)
     2296    0.005    0.000    0.005    0.000 errors_impl.py:58(__init__)
     7864    0.005    0.000    0.005    0.000 compressor.py:345(closed)
     8534    0.005    0.000    0.008    0.000 numerictypes.py:293(issubclass_)
    17125    0.005    0.000    0.005    0.000 {method 'pop' of 'dict' objects}
    24253    0.005    0.000    0.005    0.000 ops.py:2135(_id)
      194    0.005    0.000    0.007    0.000 concat.py:22(get_mgr_concatenation_plan)
     7991    0.005    0.000    0.005    0.000 lock_util.py:119(__init__)
    10269    0.005    0.000    0.006    0.000 inspect.py:81(ismethod)
